"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","802","Guest form reports required names","Restful Booker Platform","2026-09-20","passed","2026-09-20","Room reservation","UI tests","",""
"","0","test_report_step_propagates_wrapped_exception","Restful Booker Platform","2026-09-20","passed","2026-09-20","Reporting","Framework unit tests","",""
"","1","test_cleanup_removes_resources_in_reverse_creation_order","Restful Booker Platform","2026-09-20","passed","2026-09-20","Resource lifecycle","Framework unit tests","",""
"","476","Protected rooms redirect an anonymous user to login","Restful Booker Platform","2026-09-20","passed","2026-09-20","Administration","UI tests","",""
"","463","Administrator can create an isolated room","Restful Booker Platform","2026-09-20","passed","2026-09-20","Room service","API tests","",""
"","137","Anonymous user cannot list room bookings","Restful Booker Platform","2026-09-20","passed","2026-09-20","Booking service","API tests","",""
"","135","Booking rejects invalid guest details","Restful Booker Platform","2026-09-20","passed","2026-09-20","Booking service","API tests","",""
"","651","Primary navigation opens the contact section","Restful Booker Platform","2026-09-20","passed","2026-09-20","Home page","UI tests","",""
"","1784","Logout removes access to administration","Restful Booker Platform","2026-09-20","passed","2026-09-20","Administration","UI tests","",""
"","177","Booked room is excluded from matching availability search","Restful Booker Platform","2026-09-20","passed","2026-09-20","Room service","API tests","",""
"","1","test_cleanup_rediscovers_room_when_setup_failed_before_id_was_known","Restful Booker Platform","2026-09-20","passed","2026-09-20","Resource lifecycle","Framework unit tests","",""
"","656","User can cancel guest details entry","Restful Booker Platform","2026-09-20","passed","2026-09-20","Room reservation","UI tests","",""
"","1070","Primary navigation opens the contact section","Restful Booker Platform","2026-09-20","passed","2026-09-20","Home page","UI tests","",""
"","2117","Logout removes access to administration","Restful Booker Platform","2026-09-20","passed","2026-09-20","Administration","UI tests","",""
"","633","Protected rooms redirect an anonymous user to login","Restful Booker Platform","2026-09-20","passed","2026-09-20","Administration","UI tests","",""
"","0","test_response_log_fields_redact_nested_json_and_sensitive_headers","Restful Booker Platform","2026-09-20","passed","2026-09-20","HTTP diagnostics","Framework unit tests","",""
"","1","test_cleanup_reports_failure_after_attempting_remaining_resources","Restful Booker Platform","2026-09-20","passed","2026-09-20","Resource lifecycle","Framework unit tests","",""
"","1668","Guest form reports an invalid email and phone","Restful Booker Platform","2026-09-20","passed","2026-09-20","Room reservation","UI tests","",""
"","1477","Administrator can open the booking report","Restful Booker Platform","2026-09-20","passed","2026-09-20","Administration","UI tests","",""
"","1670","Invalid administrator credentials are rejected","Restful Booker Platform","2026-09-20","passed","2026-09-20","Administration","UI tests","",""
"","191","Unknown message identifier returns not found","Restful Booker Platform","2026-09-20","skipped","2026-09-20","Message service","API tests","",""
"","155","Created room can be retrieved by identifier","Restful Booker Platform","2026-09-20","passed","2026-09-20","Room service","API tests","",""
"","1","test_schema_registry_accepts_valid_contract","Restful Booker Platform","2026-09-20","passed","2026-09-20","Schema validation","Framework unit tests","",""
