"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_response_log_fields_truncate_large_text_body","Restful Booker Platform","2026-08-17","passed","2026-08-17","HTTP diagnostics","Framework unit tests","",""
"","838","Guest can create a contact message","Restful Booker Platform","2026-08-17","passed","2026-08-17","Message service","API tests","",""
"","2276","Contact form reports required fields","Restful Booker Platform","2026-08-17","passed","2026-08-17","Home page","UI tests","",""
"","467","Unknown authentication token is rejected","Restful Booker Platform","2026-08-17","passed","2026-08-17","Authentication service","API tests","",""
"","2006","User can cancel guest details entry","Restful Booker Platform","2026-08-17","passed","2026-08-17","Room reservation","UI tests","",""
"","2649","Administrator can open the booking report","Restful Booker Platform","2026-08-17","passed","2026-08-17","Administration","UI tests","",""
"","1821","Contact form reports required fields","Restful Booker Platform","2026-08-17","passed","2026-08-17","Home page","UI tests","",""
"","660","Protected rooms redirect an anonymous user to login","Restful Booker Platform","2026-08-17","passed","2026-08-17","Administration","UI tests","",""
"","1036","Guest can create a booking for an isolated room","Restful Booker Platform","2026-08-17","passed","2026-08-17","Booking service","API tests","",""
"","4858","Valid credentials return the token contract","Restful Booker Platform","2026-08-17","passed","2026-08-17","Authentication service","API tests","",""
"","1018","Protected rooms redirect an anonymous user to login","Restful Booker Platform","2026-08-17","passed","2026-08-17","Administration","UI tests","",""
"","427","Anonymous user cannot list room bookings","Restful Booker Platform","2026-08-17","passed","2026-08-17","Booking service","API tests","",""
"","1180","Selected room details are displayed","Restful Booker Platform","2026-08-17","passed","2026-08-17","Room reservation","UI tests","",""
"","1591","Administrator can sign in","Restful Booker Platform","2026-08-17","passed","2026-08-17","Administration","UI tests","",""
"","591","Booking rejects checkout before check-in","Restful Booker Platform","2026-08-17","passed","2026-08-17","Booking service","API tests","",""
"","3142","Logout removes access to administration","Restful Booker Platform","2026-08-17","passed","2026-08-17","Administration","UI tests","",""
"","1367","A newly issued token is accepted by validation","Restful Booker Platform","2026-08-17","passed","2026-08-17","Authentication service","API tests","",""
"","0","test_response_log_fields_fall_back_to_text_for_invalid_json","Restful Booker Platform","2026-08-17","passed","2026-08-17","HTTP diagnostics","Framework unit tests","",""
"","0","test_response_log_fields_redact_nested_json_and_sensitive_headers","Restful Booker Platform","2026-08-17","passed","2026-08-17","HTTP diagnostics","Framework unit tests","",""
"","617","Invalid credentials are rejected","Restful Booker Platform","2026-08-17","passed","2026-08-17","Authentication service","API tests","",""
"","0","test_settings_reject_non_positive_timeout","Restful Booker Platform","2026-08-17","passed","2026-08-17","Configuration","Framework unit tests","",""
"","337","Branding matches the public contract","Restful Booker Platform","2026-08-17","passed","2026-08-17","Branding service","API tests","",""
"","1","test_schema_registry_accepts_valid_contract","Restful Booker Platform","2026-08-17","passed","2026-08-17","Schema validation","Framework unit tests","",""
"","3212","Guest form reports an invalid email and phone","Restful Booker Platform","2026-08-17","passed","2026-08-17","Room reservation","UI tests","",""
"","263","Administrator can retrieve a booking by identifier","Restful Booker Platform","2026-08-17","passed","2026-08-17","Booking service","API tests","",""
"","267","Anonymous user cannot delete a message","Restful Booker Platform","2026-08-17","passed","2026-08-17","Message service","API tests","",""
"","1","test_cleanup_reports_failure_after_attempting_remaining_resources","Restful Booker Platform","2026-08-17","passed","2026-08-17","Resource lifecycle","Framework unit tests","",""
"","5007","User can open a room from the public catalogue","Restful Booker Platform","2026-08-17","passed","2026-08-17","Home page","UI tests","",""
"","0","test_settings_apply_environment_overrides","Restful Booker Platform","2026-08-17","passed","2026-08-17","Configuration","Framework unit tests","",""
"","0","test_report_step_uses_fixed_title_and_preserves_function_metadata","Restful Booker Platform","2026-08-17","passed","2026-08-17","Reporting","Framework unit tests","",""
"","1831","Administrator can sign in","Restful Booker Platform","2026-08-17","passed","2026-08-17","Administration","UI tests","",""
"","1","test_cleanup_removes_resources_in_reverse_creation_order","Restful Booker Platform","2026-08-17","passed","2026-08-17","Resource lifecycle","Framework unit tests","",""
