"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","385","A newly issued token is accepted by validation","Restful Booker Platform","2026-09-23","passed","2026-09-23","Authentication service","API tests","",""
"","237","Unknown room identifier returns not found","Restful Booker Platform","2026-09-23","skipped","2026-09-23","Room service","API tests","",""
"","219","Anonymous user cannot create a room","Restful Booker Platform","2026-09-23","passed","2026-09-23","Room service","API tests","",""
"","644","User can cancel guest details entry","Restful Booker Platform","2026-09-23","passed","2026-09-23","Room reservation","UI tests","",""
"","127","Unknown message identifier returns not found","Restful Booker Platform","2026-09-23","skipped","2026-09-23","Message service","API tests","",""
"","113","Booking rejects checkout before check-in","Restful Booker Platform","2026-09-23","passed","2026-09-23","Booking service","API tests","",""
"","138","Room collection matches the public contract","Restful Booker Platform","2026-09-23","passed","2026-09-23","Room service","API tests","",""
"","1799","User can submit a valid contact message","Restful Booker Platform","2026-09-23","passed","2026-09-23","Home page","UI tests","",""
"","352","Administrator can create an isolated room","Restful Booker Platform","2026-09-23","passed","2026-09-23","Room service","API tests","",""
"","2160","User can submit a valid contact message","Restful Booker Platform","2026-09-23","passed","2026-09-23","Home page","UI tests","",""
"","3425","Logout removes access to administration","Restful Booker Platform","2026-09-23","passed","2026-09-23","Administration","UI tests","",""
"","0","test_room_response_parses_api_payload_into_immutable_types","Restful Booker Platform","2026-09-23","passed","2026-09-23","API contracts","Framework unit tests","",""
"","1","test_schema_registry_reports_every_violation_with_json_path","Restful Booker Platform","2026-09-23","passed","2026-09-23","Schema validation","Framework unit tests","",""
"","318","Administrator can mark a contact message as read","Restful Booker Platform","2026-09-23","passed","2026-09-23","Message service","API tests","",""
"","2738","Contact form reports required fields","Restful Booker Platform","2026-09-23","passed","2026-09-23","Home page","UI tests","",""
"","0","test_response_log_fields_redact_nested_json_and_sensitive_headers","Restful Booker Platform","2026-09-23","passed","2026-09-23","HTTP diagnostics","Framework unit tests","",""
"","0","test_request_log_fields_redact_credentials_headers_and_cookies","Restful Booker Platform","2026-09-23","passed","2026-09-23","HTTP diagnostics","Framework unit tests","",""
"","124","Anonymous user cannot delete a message","Restful Booker Platform","2026-09-23","passed","2026-09-23","Message service","API tests","",""
"","0","test_booking_request_serializes_external_field_names","Restful Booker Platform","2026-09-23","passed","2026-09-23","API contracts","Framework unit tests","",""
"","106","Overlapping booking for the same room is rejected","Restful Booker Platform","2026-09-23","passed","2026-09-23","Booking service","API tests","",""
"","1819","Administrator can open the booking report","Restful Booker Platform","2026-09-23","passed","2026-09-23","Administration","UI tests","",""
"","0","test_settings_use_safe_sandbox_defaults","Restful Booker Platform","2026-09-23","passed","2026-09-23","Configuration","Framework unit tests","",""
"","1396","Price summary reflects the selected stay","Restful Booker Platform","2026-09-23","passed","2026-09-23","Room reservation","UI tests","",""
"","666","Invalid administrator credentials are rejected","Restful Booker Platform","2026-09-23","passed","2026-09-23","Administration","UI tests","",""
"","519","Protected rooms redirect an anonymous user to login","Restful Booker Platform","2026-09-23","passed","2026-09-23","Administration","UI tests","",""
"","165","Unknown authentication token is rejected","Restful Booker Platform","2026-09-23","passed","2026-09-23","Authentication service","API tests","",""
"","696","Price summary reflects the selected stay","Restful Booker Platform","2026-09-23","passed","2026-09-23","Room reservation","UI tests","",""
"","1667","User can cancel guest details entry","Restful Booker Platform","2026-09-23","passed","2026-09-23","Room reservation","UI tests","",""
"","2441","Administrator can sign in","Restful Booker Platform","2026-09-23","passed","2026-09-23","Administration","UI tests","",""
"","420","Guest can create a contact message","Restful Booker Platform","2026-09-23","passed","2026-09-23","Message service","API tests","",""
"","1","test_cleanup_removes_resources_in_reverse_creation_order","Restful Booker Platform","2026-09-23","passed","2026-09-23","Resource lifecycle","Framework unit tests","",""
"","139","Contact message rejects an invalid email","Restful Booker Platform","2026-09-23","passed","2026-09-23","Message service","API tests","",""
"","1227","Invalid administrator credentials are rejected","Restful Booker Platform","2026-09-23","passed","2026-09-23","Administration","UI tests","",""
"","0","test_token_response_rejects_non_string_token","Restful Booker Platform","2026-09-23","passed","2026-09-23","API contracts","Framework unit tests","",""
"","2452","Guest form reports required names","Restful Booker Platform","2026-09-23","passed","2026-09-23","Room reservation","UI tests","",""
"","0","test_settings_apply_environment_overrides","Restful Booker Platform","2026-09-23","passed","2026-09-23","Configuration","Framework unit tests","",""
"","882","User can cancel guest details entry","Restful Booker Platform","2026-09-23","passed","2026-09-23","Room reservation","UI tests","",""
"","1264","Guest form reports an invalid email and phone","Restful Booker Platform","2026-09-23","passed","2026-09-23","Room reservation","UI tests","",""
"","1686","User can open a room from the public catalogue","Restful Booker Platform","2026-09-23","passed","2026-09-23","Home page","UI tests","",""
"","1527","Administrator can open the booking report","Restful Booker Platform","2026-09-23","passed","2026-09-23","Administration","UI tests","",""
"","710","Primary navigation opens the contact section","Restful Booker Platform","2026-09-23","passed","2026-09-23","Home page","UI tests","",""
"","1130","Administrator can sign in","Restful Booker Platform","2026-09-23","passed","2026-09-23","Administration","UI tests","",""
"","240","Invalid credentials are rejected","Restful Booker Platform","2026-09-23","passed","2026-09-23","Authentication service","API tests","",""
