2026-09-22 07:06:27 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 94482790.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-94482790","roomPrice":175,"type":"Double"}
2026-09-22 07:06:27 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=243.3 | headers={"CF-RAY":"a3ef77906d0919ca-MSP","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 22 Sep 2026 07:06:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=j6xufDK3Vami1Au9tUzEmEZzk1zzc2%2BFSrDmc%2BHTGKWAw73pfjOP8bDpmSXwsEhnFnwWMEZjD6nWCPBIxzFUy0Uk7dufAsS6JJDVO61S5rsrMciCGFodT8fDVPRjE%2FMSAz7W1GrfPYqdjNgB6g%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"J9k_DjZIS7GiQIXXyCLmYg"} | body={"success":true}
2026-09-22 07:06:27 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-22 07:06:27 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=263.8 | headers={"CF-RAY":"a3ef77921dde68e8-MSP","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 22 Sep 2026 07:06:27 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Zjwvktlpzyk2wxpC9UI6%2FUUY322msbNyOigqwfmm%2B%2FNmcD3rw%2FWgBq%2BK8kjbXu9CcDWQgf1iYrV0Oi9sDMCOlsBZu%2BUzPQx4U2klSJWmKxjEtk2OqZSfYYcQLFT1xKPANYmTt%2FXTRlwdAK02YQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"ARAL_8PjQs2NphFCGbGh5g"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 94482790.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-94482790","roomPrice":175,"roomid":9,"type":"Double"}]}
2026-09-22 07:06:27 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-21","checkout":"2026-11-23"},"depositpaid":false,"email":"api.77e49643@example.com","firstname":"Api","lastname":"Guest77e49643","phone":"01234567890","roomid":9}
2026-09-22 07:06:28 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=254.2 | headers={"CF-RAY":"a3ef77938cca68e8-MSP","Connection":"keep-alive","Content-Type":"application/json","Date":"Tue, 22 Sep 2026 07:06:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=1otZRrn1sb5Nn0iW0X8UpTe6zjMVjGB7rYgmQf6fUVpKvgoCqkFzC3cCEgMvuQIB2VnB%2FtpPhIY9x55JF9ITXPE4tl4yr0bHwK%2F2TKfI%2BWo28XELfb%2FrMhJMuBlIA6Z6WW3hgC0T1FK%2FwCBi5A%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"PDiJwGS4THSg1L7aO8poTA"} | body={"bookingdates":{"checkin":"2026-11-21","checkout":"2026-11-23"},"bookingid":13,"depositpaid":false,"firstname":"Api","lastname":"Guest77e49643","roomid":9}
2026-09-22 07:06:28 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":9} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-22 07:06:28 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=9 | status=200 | elapsed_ms=150.8 | headers={"CF-RAY":"a3ef77952b2519ca-MSP","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 22 Sep 2026 07:06:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=bqBW02T0%2BLfacVVuw66VK6TdqlzWcP2ocKRa9n07eKPMj8d%2BsEOhHsNB2mDsaobrXhb7IHv5q1uKbobdT3ER5Mrd3t%2Bh2lAJEQ1UZBOmfK7IPOxiIDnjSN1OFGKvrji26za8BKYUAYVvhIOHAw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"skgIaX9ZQGKt8U8LGbGh5g"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-21","checkout":"2026-11-23"},"bookingid":13,"depositpaid":false,"firstname":"Api","lastname":"Guest77e49643","roomid":9}]}
2026-09-22 07:06:28 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking/13 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-22 07:06:28 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking/13 | status=403 | elapsed_ms=175.5 | headers={"CF-RAY":"a3ef7796189b68e8-MSP","Connection":"keep-alive","Content-Length":"0","Date":"Tue, 22 Sep 2026 07:06:28 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=oN5wikUiF2iXtjRCPJ5zSRYtK7SRzeV1ojUpdDXJCJTLe%2FrXoSNb8Yfp74RNBv3z0RorbDo0i45O81WDTbJu84LJ4RrioGF9q3MMFGmYbEkIfI7hXv%2FfzeWzcyB9zMcIz4bRVdwdsE7HoQqZvw%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"KpUVewVzR9uTmfb4woOzXw"} | body=<empty>
2026-09-22 07:06:28 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/13 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
