"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_request_log_fields_redact_credentials_headers_and_cookies","Restful Booker Platform","2026-09-18","passed","2026-09-18","HTTP diagnostics","Framework unit tests","",""
"","389","Guest can create a contact message","Restful Booker Platform","2026-09-18","passed","2026-09-18","Message service","API tests","",""
"","142","Anonymous user cannot delete a room","Restful Booker Platform","2026-09-18","passed","2026-09-18","Room service","API tests","",""
"","967","Price summary reflects the selected stay","Restful Booker Platform","2026-09-18","passed","2026-09-18","Room reservation","UI tests","",""
"","144","Anonymous user cannot retrieve a booking by identifier","Restful Booker Platform","2026-09-18","passed","2026-09-18","Booking service","API tests","",""
"","1124","User can cancel guest details entry","Restful Booker Platform","2026-09-18","passed","2026-09-18","Room reservation","UI tests","",""
"","163","Unknown room identifier returns not found","Restful Booker Platform","2026-09-18","skipped","2026-09-18","Room service","API tests","",""
"","0","test_cleanup_reports_failure_after_attempting_remaining_resources","Restful Booker Platform","2026-09-18","passed","2026-09-18","Resource lifecycle","Framework unit tests","",""
"","1541","Invalid administrator credentials are rejected","Restful Booker Platform","2026-09-18","passed","2026-09-18","Administration","UI tests","",""
"","2394","Administrator can open the booking report","Restful Booker Platform","2026-09-18","passed","2026-09-18","Administration","UI tests","",""
"","226","Administrator can retrieve a booking by identifier","Restful Booker Platform","2026-09-18","passed","2026-09-18","Booking service","API tests","",""
"","1277","Selected room details are displayed","Restful Booker Platform","2026-09-18","passed","2026-09-18","Room reservation","UI tests","",""
"","0","test_response_log_fields_truncate_large_text_body","Restful Booker Platform","2026-09-18","passed","2026-09-18","HTTP diagnostics","Framework unit tests","",""
"","1103","Selected room details are displayed","Restful Booker Platform","2026-09-18","passed","2026-09-18","Room reservation","UI tests","",""
"","284","Branding matches the public contract","Restful Booker Platform","2026-09-18","passed","2026-09-18","Branding service","API tests","",""
"","842","Price summary reflects the selected stay","Restful Booker Platform","2026-09-18","passed","2026-09-18","Room reservation","UI tests","",""
"","1578","Administrator can sign in","Restful Booker Platform","2026-09-18","passed","2026-09-18","Administration","UI tests","",""
"","446","Administrator can create an isolated room","Restful Booker Platform","2026-09-18","passed","2026-09-18","Room service","API tests","",""
"","1563","Guest form reports an invalid email and phone","Restful Booker Platform","2026-09-18","passed","2026-09-18","Room reservation","UI tests","",""
"","144","Booked room is excluded from matching availability search","Restful Booker Platform","2026-09-18","passed","2026-09-18","Room service","API tests","",""
"","263","Administrator can mark a contact message as read","Restful Booker Platform","2026-09-18","passed","2026-09-18","Message service","API tests","",""
"","2022","User can open a room from the public catalogue","Restful Booker Platform","2026-09-18","passed","2026-09-18","Home page","UI tests","",""
"","1937","Administrator can sign in","Restful Booker Platform","2026-09-18","passed","2026-09-18","Administration","UI tests","",""
"","1","test_schema_registry_reports_every_violation_with_json_path","Restful Booker Platform","2026-09-18","passed","2026-09-18","Schema validation","Framework unit tests","",""
"","2592","Contact form reports an invalid email and phone","Restful Booker Platform","2026-09-18","passed","2026-09-18","Home page","UI tests","",""
