2026-09-08 06:47:21 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 4a856075.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-4a856075","roomPrice":175,"type":"Double"}
2026-09-08 06:47:22 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=381.0 | headers={"CF-RAY":"a37c00591e75df82-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 08 Sep 2026 06:47:22 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=Ut33ucerFvX7AAomQq4H%2FQ8ZU8bUtqHv9c568HgtoqjU%2BSmzo%2BJu5Aw33afeH6%2FvUS1%2B5Sgrc%2BEDBzoc5qIANqcYcZsePo6W0UppsDjuqw0%2B2eEZ95EvYCzvYZPfu3oTkzPevmXItOO%2Bs236Zg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"WL-x39QBREicsUqoY53eZw"} | body={"success":true}
2026-09-08 06:47:22 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-08 06:47:22 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=233.5 | headers={"CF-RAY":"a37c005b9ceb7ab0-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 08 Sep 2026 06:47:22 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=BZeAxeufAqaKu3Jcu%2BZwgKyv2rj1Oi0K90D7Sby9P4C9lVzUpSyVNvgcn83AKjDOsa3SF0LknV6GqJ2jj7U%2FNGNxJ0TEdTBmXQIXsQPxzjkK8SdtlLWTnW0V2blXJJXbNteCiKYUuGfeiMqg4w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"4B-MAg9cQoibWrByY53eZw"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 4a856075.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-4a856075","roomPrice":175,"roomid":8,"type":"Double"}]}
2026-09-08 06:47:22 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-07","checkout":"2026-11-09"},"depositpaid":false,"email":"api.f54b838a@example.com","firstname":"Api","lastname":"Guestf54b838a","phone":"01234567890","roomid":8}
2026-09-08 06:47:22 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=404.9 | headers={"CF-RAY":"a37c005cedb37ab0-SJC","Connection":"keep-alive","Content-Type":"application/json","Date":"Tue, 08 Sep 2026 06:47:22 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=m%2FYlfViNSDF75zH9wPnPnf%2F%2BJRwlM09bKeDLLVpJMuhFXaZppqsNRnyUXk6puBXcpzMkRiHBeEwTANvC%2Fo%2FWNNqglb0iwCrzHUWtGLL95826UPELV1iFl91o2F6cpvMq%2BwkOngccTaM1qKoTMw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"aw6RX1YeTKaCl4ZQlt7tkg"} | body={"bookingdates":{"checkin":"2026-11-07","checkout":"2026-11-09"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guestf54b838a","roomid":8}
2026-09-08 06:47:22 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":8} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-08 06:47:23 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=8 | status=200 | elapsed_ms=394.3 | headers={"CF-RAY":"a37c005f78d8df82-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 08 Sep 2026 06:47:23 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=DN1ioYW8E3uCV9mdc7CgXKnb7Wk9Dxt0CFEymbi7L4O8XH4vJdZ4kWCOAattCwFnr8vc6bqmSzCzQ1gj76Yoj4WxCrWXZvjtLLrulbWG0qPG8SjIzdxVXR5QDj%2BxorMjuoy9LoC8k%2FjeeAADBQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.ez9k","x-railway-edge":"lax1","x-railway-request-id":"6fXYStDEQR--aNCg9I3ezw"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-07","checkout":"2026-11-09"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guestf54b838a","roomid":8}]}
2026-09-08 06:47:23 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-08 06:47:23 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking/5 | status=200 | elapsed_ms=218.2 | headers={"CF-RAY":"a37c0061ecdcdf82-SJC","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 08 Sep 2026 06:47:23 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=r3GyUvzQLthS8vyB7jirK8ZZIvlCmsJ4XlY1sRXzknDGuizWGyujfFerlZom8O4%2B9RkEVEEseSTCwQBwww%2BDhAMpTLWG9LLTG3iZClVuhYxNN31NohcD3c02nNZyNh%2F4mALLDLY9CEI%2BV0wz5Q%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"Accept-Encoding","x-hikari-trace":"lax1.z1hw","x-railway-edge":"lax1","x-railway-request-id":"-w6q8ykNTKGAS03W9I3ezw"} | body={"bookingdates":{"checkin":"2026-11-07","checkout":"2026-11-09"},"bookingid":5,"depositpaid":false,"firstname":"Api","lastname":"Guestf54b838a","roomid":8}
2026-09-08 06:47:23 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/5 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
