"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_response_log_fields_truncate_large_text_body","Restful Booker Platform","2026-08-12","passed","2026-08-12","HTTP diagnostics","Framework unit tests","",""
"","259","Administrator can retrieve a booking by identifier","Restful Booker Platform","2026-08-12","passed","2026-08-12","Booking service","API tests","",""
"","2482","User can open a room from the public catalogue","Restful Booker Platform","2026-08-12","passed","2026-08-12","Home page","UI tests","",""
"","1924","Administrator can sign in","Restful Booker Platform","2026-08-12","passed","2026-08-12","Administration","UI tests","",""
"","4789","User can open a room from the public catalogue","Restful Booker Platform","2026-08-12","passed","2026-08-12","Home page","UI tests","",""
"","2170","User can open a room from the public catalogue","Restful Booker Platform","2026-08-12","passed","2026-08-12","Home page","UI tests","",""
"","386","Anonymous user cannot list room bookings","Restful Booker Platform","2026-08-12","passed","2026-08-12","Booking service","API tests","",""
"","1480","Selected room details are displayed","Restful Booker Platform","2026-08-12","passed","2026-08-12","Room reservation","UI tests","",""
"","0","test_request_log_fields_redact_credentials_headers_and_cookies","Restful Booker Platform","2026-08-12","passed","2026-08-12","HTTP diagnostics","Framework unit tests","",""
"","276","Anonymous user cannot delete a room","Restful Booker Platform","2026-08-12","passed","2026-08-12","Room service","API tests","",""
"","2","test_cleanup_reports_failure_after_attempting_remaining_resources","Restful Booker Platform","2026-08-12","passed","2026-08-12","Resource lifecycle","Framework unit tests","",""
"","1","test_cleanup_rediscovers_room_when_setup_failed_before_id_was_known","Restful Booker Platform","2026-08-12","passed","2026-08-12","Resource lifecycle","Framework unit tests","",""
"","2","test_schema_registry_accepts_valid_contract","Restful Booker Platform","2026-08-12","passed","2026-08-12","Schema validation","Framework unit tests","",""
"","1392","Protected rooms redirect an anonymous user to login","Restful Booker Platform","2026-08-12","passed","2026-08-12","Administration","UI tests","",""
"","0","test_response_log_fields_redact_nested_json_and_sensitive_headers","Restful Booker Platform","2026-08-12","passed","2026-08-12","HTTP diagnostics","Framework unit tests","",""
"","403","Unknown message identifier returns not found","Restful Booker Platform","2026-08-12","skipped","2026-08-12","Message service","API tests","",""
"","0","test_response_log_fields_fall_back_to_text_for_invalid_json","Restful Booker Platform","2026-08-12","passed","2026-08-12","HTTP diagnostics","Framework unit tests","",""
"","392","Booking rejects invalid guest details","Restful Booker Platform","2026-08-12","passed","2026-08-12","Booking service","API tests","",""
"","435","Room collection matches the public contract","Restful Booker Platform","2026-08-12","passed","2026-08-12","Room service","API tests","",""
"","1150","User can submit a valid contact message","Restful Booker Platform","2026-08-12","passed","2026-08-12","Home page","UI tests","",""
"","4898","Valid credentials return the token contract","Restful Booker Platform","2026-08-12","passed","2026-08-12","Authentication service","API tests","",""
"","1912","User can submit a valid contact message","Restful Booker Platform","2026-08-12","passed","2026-08-12","Home page","UI tests","",""
"","1278","Price summary reflects the selected stay","Restful Booker Platform","2026-08-12","passed","2026-08-12","Room reservation","UI tests","",""
"","0","test_report_step_propagates_wrapped_exception","Restful Booker Platform","2026-08-12","passed","2026-08-12","Reporting","Framework unit tests","",""
"","2442","Logout removes access to administration","Restful Booker Platform","2026-08-12","passed","2026-08-12","Administration","UI tests","",""
"","2362","Administrator can open the booking report","Restful Booker Platform","2026-08-12","passed","2026-08-12","Administration","UI tests","",""
"","1054","User can cancel guest details entry","Restful Booker Platform","2026-08-12","passed","2026-08-12","Room reservation","UI tests","",""
"","679","Administrator can create an isolated room","Restful Booker Platform","2026-08-12","passed","2026-08-12","Room service","API tests","",""
"","623","Unknown authentication token is rejected","Restful Booker Platform","2026-08-12","passed","2026-08-12","Authentication service","API tests","",""
"","1035","Invalid administrator credentials are rejected","Restful Booker Platform","2026-08-12","passed","2026-08-12","Administration","UI tests","",""
"","267","Contact message rejects an invalid email","Restful Booker Platform","2026-08-12","passed","2026-08-12","Message service","API tests","",""
"","1","test_settings_apply_environment_overrides","Restful Booker Platform","2026-08-12","passed","2026-08-12","Configuration","Framework unit tests","",""
"","1024","A newly issued token is accepted by validation","Restful Booker Platform","2026-08-12","passed","2026-08-12","Authentication service","API tests","",""
"","565","Guest can create a contact message","Restful Booker Platform","2026-08-12","passed","2026-08-12","Message service","API tests","",""
"","1119","Guest form reports required names","Restful Booker Platform","2026-08-12","passed","2026-08-12","Room reservation","UI tests","",""
"","2665","Guest form reports required names","Restful Booker Platform","2026-08-12","passed","2026-08-12","Room reservation","UI tests","",""
"","2318","Administrator can open the booking report","Restful Booker Platform","2026-08-12","passed","2026-08-12","Administration","UI tests","",""
"","1202","Contact form reports required fields","Restful Booker Platform","2026-08-12","passed","2026-08-12","Home page","UI tests","",""
"","3333","Guest form reports an invalid email and phone","Restful Booker Platform","2026-08-12","passed","2026-08-12","Room reservation","UI tests","",""
"","0","test_booking_collection_finds_exact_unique_guest","Restful Booker Platform","2026-08-12","passed","2026-08-12","API contracts","Framework unit tests","",""
"","2","test_schema_registry_reports_every_violation_with_json_path","Restful Booker Platform","2026-08-12","passed","2026-08-12","Schema validation","Framework unit tests","",""
"","796","Primary navigation opens the contact section","Restful Booker Platform","2026-08-12","passed","2026-08-12","Home page","UI tests","",""
