"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1923","User can open a room from the public catalogue","Restful Booker Platform","2026-09-14","passed","2026-09-14","Home page","UI tests","",""
"","0","test_report_step_uses_fixed_title_and_preserves_function_metadata","Restful Booker Platform","2026-09-14","passed","2026-09-14","Reporting","Framework unit tests","",""
"","1509","Invalid administrator credentials are rejected","Restful Booker Platform","2026-09-14","passed","2026-09-14","Administration","UI tests","",""
"","2387","Guest form reports required names","Restful Booker Platform","2026-09-14","passed","2026-09-14","Room reservation","UI tests","",""
"","627","Guest can create a contact message","Restful Booker Platform","2026-09-14","passed","2026-09-14","Message service","API tests","",""
"","406","New room report matches the public contract","Restful Booker Platform","2026-09-14","passed","2026-09-14","Report service","API tests","",""
"","1778","User can cancel guest details entry","Restful Booker Platform","2026-09-14","passed","2026-09-14","Room reservation","UI tests","",""
"","239","Anonymous user cannot delete a message","Restful Booker Platform","2026-09-14","passed","2026-09-14","Message service","API tests","",""
"","191","Booking rejects invalid guest details","Restful Booker Platform","2026-09-14","passed","2026-09-14","Booking service","API tests","",""
"","2508","Contact form reports required fields","Restful Booker Platform","2026-09-14","passed","2026-09-14","Home page","UI tests","",""
"","1529","Invalid administrator credentials are rejected","Restful Booker Platform","2026-09-14","passed","2026-09-14","Administration","UI tests","",""
"","0","test_token_response_rejects_non_string_token","Restful Booker Platform","2026-09-14","passed","2026-09-14","API contracts","Framework unit tests","",""
"","1","test_cleanup_accepts_failed_delete_when_resource_is_already_absent","Restful Booker Platform","2026-09-14","passed","2026-09-14","Resource lifecycle","Framework unit tests","",""
"","1213","Protected rooms redirect an anonymous user to login","Restful Booker Platform","2026-09-14","passed","2026-09-14","Administration","UI tests","",""
"","2323","Logout removes access to administration","Restful Booker Platform","2026-09-14","passed","2026-09-14","Administration","UI tests","",""
"","609","Invalid credentials are rejected","Restful Booker Platform","2026-09-14","passed","2026-09-14","Authentication service","API tests","",""
"","1","test_response_log_fields_truncate_large_text_body","Restful Booker Platform","2026-09-14","passed","2026-09-14","HTTP diagnostics","Framework unit tests","",""
"","1781","Guest form reports an invalid email and phone","Restful Booker Platform","2026-09-14","passed","2026-09-14","Room reservation","UI tests","",""
"","229","Booked room is excluded from matching availability search","Restful Booker Platform","2026-09-14","passed","2026-09-14","Room service","API tests","",""
"","567","Contact message rejects an invalid email","Restful Booker Platform","2026-09-14","passed","2026-09-14","Message service","API tests","",""
"","574","Unknown authentication token is rejected","Restful Booker Platform","2026-09-14","passed","2026-09-14","Authentication service","API tests","",""
"","390","Administrator can retrieve a booking by identifier","Restful Booker Platform","2026-09-14","passed","2026-09-14","Booking service","API tests","",""
"","0","test_booking_collection_finds_exact_unique_guest","Restful Booker Platform","2026-09-14","passed","2026-09-14","API contracts","Framework unit tests","",""
"","2469","User can submit a valid contact message","Restful Booker Platform","2026-09-14","passed","2026-09-14","Home page","UI tests","",""
"","608","Administrator can create an isolated room","Restful Booker Platform","2026-09-14","passed","2026-09-14","Room service","API tests","",""
"","1621","Administrator can sign in","Restful Booker Platform","2026-09-14","passed","2026-09-14","Administration","UI tests","",""
"","260","Unknown room identifier returns not found","Restful Booker Platform","2026-09-14","skipped","2026-09-14","Room service","API tests","",""
"","518","Overlapping booking for the same room is rejected","Restful Booker Platform","2026-09-14","passed","2026-09-14","Booking service","API tests","",""
"","1984","User can open a room from the public catalogue","Restful Booker Platform","2026-09-14","passed","2026-09-14","Home page","UI tests","",""
"","0","test_settings_reject_non_positive_timeout","Restful Booker Platform","2026-09-14","passed","2026-09-14","Configuration","Framework unit tests","",""
"","2793","Guest form reports an invalid email and phone","Restful Booker Platform","2026-09-14","broken","2026-09-14","Room reservation","UI tests","",""
"","1","test_response_log_fields_redact_nested_json_and_sensitive_headers","Restful Booker Platform","2026-09-14","passed","2026-09-14","HTTP diagnostics","Framework unit tests","",""
"","1172","Contact form reports an invalid email and phone","Restful Booker Platform","2026-09-14","passed","2026-09-14","Home page","UI tests","",""
"","0","test_report_step_propagates_wrapped_exception","Restful Booker Platform","2026-09-14","passed","2026-09-14","Reporting","Framework unit tests","",""
"","248","Branding matches the public contract","Restful Booker Platform","2026-09-14","passed","2026-09-14","Branding service","API tests","",""
"","898","User can cancel guest details entry","Restful Booker Platform","2026-09-14","passed","2026-09-14","Room reservation","UI tests","",""
"","1657","Administrator can sign in","Restful Booker Platform","2026-09-14","passed","2026-09-14","Administration","UI tests","",""
"","0","test_cleanup_rediscovers_room_when_setup_failed_before_id_was_known","Restful Booker Platform","2026-09-14","passed","2026-09-14","Resource lifecycle","Framework unit tests","",""
"","724","Primary navigation opens the contact section","Restful Booker Platform","2026-09-14","passed","2026-09-14","Home page","UI tests","",""
"","739","Price summary reflects the selected stay","Restful Booker Platform","2026-09-14","passed","2026-09-14","Room reservation","UI tests","",""
"","1","test_schema_registry_accepts_valid_contract","Restful Booker Platform","2026-09-14","passed","2026-09-14","Schema validation","Framework unit tests","",""
"","1604","Guest form reports required names","Restful Booker Platform","2026-09-14","passed","2026-09-14","Room reservation","UI tests","",""
"","2663","Logout removes access to administration","Restful Booker Platform","2026-09-14","passed","2026-09-14","Administration","UI tests","",""
"","0","test_settings_apply_environment_overrides","Restful Booker Platform","2026-09-14","passed","2026-09-14","Configuration","Framework unit tests","",""
"","2054","Administrator can open the booking report","Restful Booker Platform","2026-09-14","passed","2026-09-14","Administration","UI tests","",""
"","1403","Protected rooms redirect an anonymous user to login","Restful Booker Platform","2026-09-14","passed","2026-09-14","Administration","UI tests","",""
"","242","Created booking appears as an unavailable room period","Restful Booker Platform","2026-09-14","passed","2026-09-14","Report service","API tests","",""
"","0","test_booking_request_serializes_external_field_names","Restful Booker Platform","2026-09-14","passed","2026-09-14","API contracts","Framework unit tests","",""
"","1327","Selected room details are displayed","Restful Booker Platform","2026-09-14","passed","2026-09-14","Room reservation","UI tests","",""
"","731","Primary navigation opens the contact section","Restful Booker Platform","2026-09-14","passed","2026-09-14","Home page","UI tests","",""
