2026-09-01 07:02:45 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room 9ca8cd06.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-9ca8cd06","roomPrice":175,"type":"Double"}
2026-09-01 07:02:45 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=201.3 | headers={"CF-RAY":"a34269470b6eb7be-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 01 Sep 2026 07:02:45 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=jR2NfuSkNR70SYpKuRffZRBuGKSj%2B2Xhu8gnjpLRhyjin9vgZAYbtjkhWrLe42wP%2BEuvaHT93%2BHgJxKsP2jgyYZxWepP5upslltEzilfmEikVBgEScU7YcGmOEGp5LOo%2BQeebkDnThTvwmRRkQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"O6RImiHFT-e4vvIywoOzXw"} | body={"success":true}
2026-09-01 07:02:45 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-01 07:02:46 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=238.1 | headers={"CF-RAY":"a34269487d1f45a9-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 01 Sep 2026 07:02:46 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=UPhPs4UL96Hh5zF2vZntMZLUj6v775fuT7C46e5%2FmgkOc2BxX6lP8g8QFqV1m71V1fq9VQs3yPjOJWtIXm070yZwyVsvrHk39Xkr1tTL99i0tgbePEmm2aN%2FnJ7PHxjQT7M3L2C7G0MshZ3Zgw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"bYfDCgRaSke6227oezItjw"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room 9ca8cd06.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-9ca8cd06","roomPrice":175,"roomid":8,"type":"Double"}]}
2026-09-01 07:02:46 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-31","checkout":"2026-11-02"},"depositpaid":false,"email":"api.b19eb8f2@example.com","firstname":"Api","lastname":"Guestb19eb8f2","phone":"01234567890","roomid":8}
2026-09-01 07:02:46 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=106.1 | headers={"CF-RAY":"a3426949c82a45a9-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Tue, 01 Sep 2026 07:02:46 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=DI%2B7DpUPNyC192lm4Ugt7yfH8VL%2BAjbyty7HO9NLHCJDjC6AB7D3IF067GGAuQo0UXHmJuYK4gnWglHlBngmROoRoSPIhADh5116reQ06c0X8zT9lJDfi80XVShBNjy9nbXegqpBNyjmOyYDXg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"1-x_YVSaQsObKvb1FFmdQQ"} | body={"bookingdates":{"checkin":"2026-10-31","checkout":"2026-11-02"},"bookingid":6,"depositpaid":false,"firstname":"Api","lastname":"Guestb19eb8f2","roomid":8}
2026-09-01 07:02:46 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":8} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-01 07:02:46 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=8 | status=200 | elapsed_ms=111.1 | headers={"CF-RAY":"a342694a7acbb7be-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 01 Sep 2026 07:02:46 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=lfvcgjWAmERzXol8y41dwXccg%2BKDcAxwztAC5jqR8TWol0zizNwhAnrqOzdwBPJLx6I6W8XpYeUtkxfLqn3OC3QD7%2BhlfDqR46xCy1kYWhnFhPlec2PV%2BGn1TKh0LY6VnSEFBi%2BPQmw0PQd0jA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.dh1s","x-railway-edge":"iad1","x-railway-request-id":"XJpxl6wOR0qKl4-gwoOzXw"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-31","checkout":"2026-11-02"},"bookingid":6,"depositpaid":false,"firstname":"Api","lastname":"Guestb19eb8f2","roomid":8}]}
2026-09-01 07:02:46 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking/6 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-01 07:02:46 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking/6 | status=200 | elapsed_ms=122.1 | headers={"CF-RAY":"a342694b2c31b7be-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Tue, 01 Sep 2026 07:02:46 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=LVDRc2BqIowaNPdKI6R1zBR%2F1KGyOO1Hit0wwkHW%2Fl1jJpyCdunQtz%2BCwMUdeDoaR0g2ScjRnkwHuqLx8jMLRe86ns%2FAfKRXmxHXTsMWpISDZzbkV48kY0C%2FdcV0FZ2r7inkGiN9xMU4wnMaew%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"Accept-Encoding","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"F4H0NJpjTuyWgymFFFmdQQ"} | body={"bookingdates":{"checkin":"2026-10-31","checkout":"2026-11-02"},"bookingid":6,"depositpaid":false,"firstname":"Api","lastname":"Guestb19eb8f2","roomid":8}
2026-09-01 07:02:46 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/6 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
