2026-08-22 02:48:46 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room c085c0b4.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-c085c0b4","roomPrice":175,"type":"Double"}
2026-08-22 02:48:46 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=402.3 | headers={"CF-RAY":"a2ee8f7a29371fa1-SEA","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 22 Aug 2026 02:48:46 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=BEVbUJLr54qxDyOjWakOSZ5NxJseScVb3FYCQduBTEwAglutOuv%2FsoLgXm9Hw%2FDcOxM4Y3JJpn7ejj%2FRbnWJPSHW0RlRuZWiR6Ncf1CHtd7uwy1m3Z4EFK0MIXKBl0zjHCsXAtMldpvA7C6PdQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"nL7jm6uMTnKmLQpXwUFZXw"} | body={"success":true}
2026-08-22 02:48:46 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-22 02:48:47 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=458.7 | headers={"CF-RAY":"a2ee8f7cef4bd459-SEA","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 22 Aug 2026 02:48:47 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=UWro1tB9Pkj5w6owNJ%2FrXpifqrFpgeSUrQDLt0i%2BiENDX3JLu11bL7v5qKqjM6fyayMBWkmz4L7GtqJvp3fTri3zAU1seuBGn1bxO3HZIb%2BILGf0O7TEK0w2UH%2BPaaAKZNPk3q5JW52%2FBTWgbg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"57oHtbbkTkyBmzxwjq4OvQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room c085c0b4.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-c085c0b4","roomPrice":175,"roomid":16,"type":"Double"}]}
2026-08-22 02:48:47 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-21","checkout":"2026-10-23"},"depositpaid":false,"email":"api.14be8422@example.com","firstname":"Api","lastname":"Guest14be8422","phone":"01234567890","roomid":16}
2026-08-22 02:48:47 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=261.3 | headers={"CF-RAY":"a2ee8f7f98aad459-SEA","Connection":"keep-alive","Content-Type":"application/json","Date":"Sat, 22 Aug 2026 02:48:47 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=f4uQwYKDyyCZUqV3Wjtt3CBtYCXgcmHb%2BABLLzzEjQE%2FTzLX3syoW3D7b%2FPnqhzmIRz3g%2B4tjDtyawpXldB%2B0bA2MKJUZdU%2BIrVLa1lhDkB2Z8ZSxJP6r5vCmINF11C%2F03O%2BOhabnQw2XFsQiw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"JtYikmDXSOGtm7YnnPRhug"} | body={"bookingdates":{"checkin":"2026-10-21","checkout":"2026-10-23"},"bookingid":9,"depositpaid":false,"firstname":"Api","lastname":"Guest14be8422","roomid":16}
2026-08-22 02:48:47 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":16} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-22 02:48:47 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=16 | status=200 | elapsed_ms=241.4 | headers={"CF-RAY":"a2ee8f813ac61fa1-SEA","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 22 Aug 2026 02:48:47 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=k%2FcKHK8%2F3%2FmJ9lR3AqrN%2BS%2BTDCzCeHudcx7qb0TiOll8tb%2BHtZN%2FlWYZi6hIaHWy0FYZkGdBzoA8QExYcYF5V8bduLETDXP09eQ2ip50XTFWSKeSwD10pppn95YNi4R8a1wqjsY8%2FrZAMuDt9w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.v9kt","x-railway-edge":"lax1","x-railway-request-id":"IdqdYAKPQJ-s0VxBWUN5dQ"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-21","checkout":"2026-10-23"},"bookingid":9,"depositpaid":false,"firstname":"Api","lastname":"Guest14be8422","roomid":16}]}
2026-08-22 02:48:47 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={"checkin":"2026-10-21","checkout":"2026-10-23"} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-22 02:48:48 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room?checkin=2026-10-21&checkout=2026-10-23 | status=200 | elapsed_ms=287.0 | headers={"CF-RAY":"a2ee8f82b9f7d459-SEA","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sat, 22 Aug 2026 02:48:48 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=vNgxrGpKe79uw0aS84Q0cFRmmfRhWpn%2B%2B5oymKC5r3nW5SQ52RmLY7C6fMyWMu%2ByqfsD5Nh63arkdtZlCel%2FJq4Fehlg2tD9VNuU0FYkWqmnkWF5sNfv9fJvINNHNei9lPir1VhL8hE4zTR6Lw%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"lax1.e74w","x-railway-edge":"lax1","x-railway-request-id":"mNaaLBaBTIi-6UV2jq4OvQ"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"}]}
2026-08-22 02:48:48 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/9 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
