"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100","Anonymous user cannot list room bookings","Restful Booker Platform","2026-09-16","passed","2026-09-16","Booking service","API tests","",""
"","0","test_response_log_fields_fall_back_to_text_for_invalid_json","Restful Booker Platform","2026-09-16","passed","2026-09-16","HTTP diagnostics","Framework unit tests","",""
"","1489","Price summary reflects the selected stay","Restful Booker Platform","2026-09-16","passed","2026-09-16","Room reservation","UI tests","",""
"","434","Administrator can create an isolated room","Restful Booker Platform","2026-09-16","passed","2026-09-16","Room service","API tests","",""
"","130","Created booking appears as an unavailable room period","Restful Booker Platform","2026-09-16","passed","2026-09-16","Report service","API tests","",""
"","1204","Invalid administrator credentials are rejected","Restful Booker Platform","2026-09-16","passed","2026-09-16","Administration","UI tests","",""
"","4678","User can open a room from the public catalogue","Restful Booker Platform","2026-09-16","passed","2026-09-16","Home page","UI tests","",""
"","1257","Guest form reports an invalid email and phone","Restful Booker Platform","2026-09-16","passed","2026-09-16","Room reservation","UI tests","",""
"","252","Branding matches the public contract","Restful Booker Platform","2026-09-16","passed","2026-09-16","Branding service","API tests","",""
"","134","Anonymous user cannot create a room","Restful Booker Platform","2026-09-16","passed","2026-09-16","Room service","API tests","",""
"","1","test_cleanup_removes_resources_in_reverse_creation_order","Restful Booker Platform","2026-09-16","passed","2026-09-16","Resource lifecycle","Framework unit tests","",""
"","1017","Contact form reports required fields","Restful Booker Platform","2026-09-16","passed","2026-09-16","Home page","UI tests","",""
"","542","Protected rooms redirect an anonymous user to login","Restful Booker Platform","2026-09-16","passed","2026-09-16","Administration","UI tests","",""
"","2922","Logout removes access to administration","Restful Booker Platform","2026-09-16","passed","2026-09-16","Administration","UI tests","",""
"","2304","Guest form reports an invalid email and phone","Restful Booker Platform","2026-09-16","passed","2026-09-16","Room reservation","UI tests","",""
"","1","test_cleanup_rediscovers_room_when_setup_failed_before_id_was_known","Restful Booker Platform","2026-09-16","passed","2026-09-16","Resource lifecycle","Framework unit tests","",""
"","111","Booking rejects invalid guest details","Restful Booker Platform","2026-09-16","passed","2026-09-16","Booking service","API tests","",""
"","1485","Administrator can sign in","Restful Booker Platform","2026-09-16","passed","2026-09-16","Administration","UI tests","",""
